AZI_PRED,LON,LAT,STR
104.0408,10.4,40.4,0.46523112
112.18531,11,40.4,0.24402754
116.17032,12.2,40.4,0.08544794
85.752396,12.8,40.4,0.11490962
141.04192,14.6,40.4,0.32257167
128.92786,15.2,40.4,0.695279
132.60628,15.8,40.4,0.7248767
106.61588,10.4,41,0.478669
105.18928,11,41,0.39589947
153.52011,11.6,41,0.06199967
11.577863,12.2,41,0.09275339
101.9842,12.8,41,0.20634168
147.29074,13.4,41,0.38168836
144.03545,14,41,0.6164026
144.19379,14.6,41,0.5806699
134.97372,15.2,41,0.63666064
134.07336,15.8,41,0.6389394
102.569885,10.4,41.6,0.44607016
161.73808,11.6,41.6,0.15839255
151.8129,12.2,41.6,0.4041071
154.14365,12.8,41.6,0.57698435
142.95709,13.4,41.6,0.6661807
134.74118,14,41.6,0.69752157
130.72,14.6,41.6,0.7941451
137.31618,15.2,41.6,0.6835064
138.73227,15.8,41.6,0.59439445
137.68208,11,42.2,0.24731997
128.14319,11.6,42.2,0.38547575
119.25877,12.2,42.2,0.5571892
136.38002,12.8,42.2,0.73623765
144.627,13.4,42.2,0.86292255
133.5662,14,42.2,0.6947043
126.63736,14.6,42.2,0.67250687
130.14029,15.2,42.2,0.6607526
152.26935,15.8,42.2,0.59870315
136.24628,10.4,42.8,0.3180444
131.16525,11,42.8,0.49217308
131.95586,11.6,42.8,0.6166711
127.58249,12.2,42.8,0.7821522
132.87384,12.8,42.8,0.981161
149.63617,13.4,42.8,0.89213574
100.04873,14,42.8,0.45193636
18.12294,14.6,42.8,0.66289014
21.437567,15.2,42.8,0.730037
28.789762,15.8,42.8,0.72663224
135.98366,10.4,43.4,0.6302341
131.31578,11,43.4,0.7482691
133.27295,11.6,43.4,0.78764343
137.2706,12.2,43.4,0.85283315
142.38127,12.8,43.4,0.88653564
178.82584,13.4,43.4,0.76784766
21.940111,14,43.4,0.6735858
15.742568,14.6,43.4,0.611603
16.770144,15.2,43.4,0.68693215
24.005457,15.8,43.4,0.7251969
104.86994,10.4,44,0.7633605
138.97952,11,44,0.7451548
129.6669,11.6,44,0.86903715
147.93243,12.2,44,0.7767997
95.67743,12.8,44,0.44408798
45.321262,13.4,44,0.69301
37.456593,14,44,0.49553826
21.080114,14.6,44,0.34532124
12.970856,15.2,44,0.40081078
25.505987,15.8,44,0.5918392
170.32631,10.4,44.6,0.6765116
173.62386,11,44.6,0.73470515
18.813997,11.6,44.6,0.7327967
20.35633,12.2,44.6,0.68688357
138.26862,12.8,44.6,0.5991919
27.16492,13.4,44.6,0.4495184
1.4511763,14,44.6,0.50546205
5.353768,14.6,44.6,0.5535582
10.40522,15.2,44.6,0.58159894
15.690873,15.8,44.6,0.5379329
